,href,icons,id,name
0,https://api.spotify.com/v1/browse/categories/toplists,"[{'height': 275, 'url': 'https://t.scdn.co/media/derived/toplists_11160599e6a04ac5d6f2757f5511778f_0_0_275_275.jpg', 'width': 275}]",toplists,Top Lists
1,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFEC4WFtoNRpw,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/pop-274x274_447148649685019f5e2a03a39e78ba52_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFEC4WFtoNRpw,Pop
2,https://api.spotify.com/v1/browse/categories/hiphop,"[{'height': 274, 'url': 'https://t.scdn.co/media/original/hip-274_0a661854d61e29eace5fe63f73495e68_274x274.jpg', 'width': 274}]",hiphop,Hip-Hop
3,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFzHmL4tf05da,"[{'height': 274, 'url': 'https://t.scdn.co/media/original/mood-274x274_976986a31ac8c49794cbdc7246fd5ad7_274x274.jpg', 'width': 274}]",0JQ5DAqbMKFzHmL4tf05da,Mood
4,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFCWjUTdzaG0e,"[{'height': None, 'url': 'https://t.scdn.co/images/fe06caf056474bc58862591cd60b57fc.jpeg', 'width': None}]",0JQ5DAqbMKFCWjUTdzaG0e,Indie
5,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFPw634sFwguI,"[{'height': None, 'url': 'https://t.scdn.co/images/084155aeaa724ea1bd393a017d67b709', 'width': None}]",0JQ5DAqbMKFPw634sFwguI,EQUAL
6,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFHOzuVTgTizF,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/edm-274x274_0ef612604200a9c14995432994455a6d_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic
7,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFFzDl7qN9Apr,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/chill-274x274_4c46374f007813dd10b37e8d8fd35b4b_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFFzDl7qN9Apr,Chill
8,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFAXlCG6QvYQ4,"[{'height': None, 'url': 'https://t.scdn.co/media/links/workout-274x274.jpg', 'width': None}]",0JQ5DAqbMKFAXlCG6QvYQ4,Workout
9,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFDXXwE9BDJAr,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/rock_9ce79e0a4ef901bbd10494f5b855d3cc_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFDXXwE9BDJAr,Rock
