,id_x,track.artists,track.name,playlist_id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.popularity
0,6YIivt0G3ZUuNrM62jp9pL,AJR,Way Less Sad,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.695,0.541,2,-8.35,1,0.046,0.00707,0.0,0.104,0.409,140.018,207600,4,63.0
4,4MTmAFWHpvB9kPMSRgLFRp,The Lumineers,WHERE WE ARE,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.573,0.507,11,-8.084,1,0.0342,0.759,1.37e-06,0.377,0.363,123.183,172800,4,64.0
8,6y6xhAgZjvxy5kR5rigpY3,"Alesso, Marshmello, James Bay",Chasing Stars (feat. James Bay),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.594,0.64,10,-6.865,1,0.033,0.0169,0.0,0.135,0.492,92.871,170457,4,72.0
12,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,96.0
18,3o9kpgkIcffx0iSwxhuNI2,Em Beihold,Numb Little Bug,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,169238,4,79.0
22,1imMjt1YGNebtrtTAprKV7,Dua Lipa,Love Again,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004,4,69.0
24,4svaKoxMMP7ImmKrD5hfQu,Jax,Victoria’s Secret,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,176125,4,83.0
28,0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,177720,3,90.0
32,0zzVTGyRrWpQu8Fr28NRAv,"Marshmello, Demi Lovato",OK Not To Be OK,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,159863,4,76.0
36,18XlJEroUwFo0tLZxscgXE,Maroon 5,Lost,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,172598,4,75.0
38,76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551,4,93.0
42,4btFHqumCO31GksfuBLLv3,Ed Sheeran,Overpass Graffiti,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,236907,4,80.0
44,7kQkmyoHCEqwe7QwDbkSXM,FINNEAS,Let's Fall in Love for the Night,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.921,190348,4,72.0
46,3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,4,89.0
48,6w8ZPYdnGajyfPddTWdthN,Adele,Can I Get It,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,210384,4,74.0
50,4N5s8lPTsjI9EGP7K4SXzB,George Ezra,Green Green Grass,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,167614,4,76.0
52,5902W4uHWzhtOff1UK7the,"Alesso, Katy Perry",When I’m Gone (with Katy Perry),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,161267,4,81.0
54,5r43qanLhUCdBj8HN3fa6B,OneRepublic,Sunshine,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,163855,4,83.0
58,1l4iQsOZ5sOXZPMQLvouaB,"Hailee Steinfeld, Anderson .Paak",Coast (feat. Anderson .Paak),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.701,0.875,11,-4.1,1,0.0757,0.0262,7.32e-06,0.137,0.84,111.976,166720,4,80.0
62,1GkHyypTFkUf0QQKwYoXH4,"benny blanco, Marshmello, Vance Joy",You (with Marshmello & Vance Joy),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.668,0.563,11,-6.433,1,0.0522,0.0493,0.0,0.119,0.305,103.116,169632,4,69.0
64,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,89.0
66,3FeVmId7tL5YN8B7R3imoM,"Coldplay, BTS",My Universe,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000,4,85.0
68,2rmwqU7yzTvzkiaRV53DpT,Lizzo,2 Be Loved (Am I Ready),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,187108,4,84.0
74,1yTTMcUhL7rtz08Dsgb7Qb,"Maren Morris, Hozier",The Bones - with Hozier,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.561,0.597,11,-6.0,0,0.0405,0.286,0.0,0.0979,0.355,76.826,197299,4,71.0
