,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
0,False,Get happy with today's dose of feel-good songs!,https://api.spotify.com/v1/playlists/37i9dQZF1DX3rxVfibe1L0,37i9dQZF1DX3rxVfibe1L0,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003bd0e19e810bb4b55ab164a95', 'width': None}]",Mood Booster,,,MTY2MjY5NjAwMCwwMDAwMDAwMDVlMmJjNzg4ZGZlNTg2NzQ0ZTFiYTA2ZTM0OWFlODIx,playlist,spotify:playlist:37i9dQZF1DX3rxVfibe1L0,https://open.spotify.com/playlist/37i9dQZF1DX3rxVfibe1L0,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX3rxVfibe1L0/tracks,76
1,False,"Feel-good <a href=""spotify:genre:edm_dance"">dance music</a>!",https://api.spotify.com/v1/playlists/37i9dQZF1DWSf2RDTDayIx,37i9dQZF1DWSf2RDTDayIx,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000325d50fa7cc51b307364050f5', 'width': None}]",Happy Beats,,,MTY2NTAwNTI1MCwwMDAwMDAwMDU3NWRiYzA1NjlhMjE1NmNlOWMyMDFlZWJiNDkxYWM5,playlist,spotify:playlist:37i9dQZF1DWSf2RDTDayIx,https://open.spotify.com/playlist/37i9dQZF1DWSf2RDTDayIx,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWSf2RDTDayIx/tracks,150
2,False,Make your shower more uplifting by singing along to these hits.,https://api.spotify.com/v1/playlists/37i9dQZF1DWSqmBTGDYngZ,37i9dQZF1DWSqmBTGDYngZ,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000324893f0507c0fe2855565438', 'width': None}]",Songs to Sing in the Shower,,,MTY2NTA0NzM1NiwwMDAwMDAwMDc5ZDA0Njk3NzRkY2I0ODczYjgwZWZmY2FjNGNiZDdj,playlist,spotify:playlist:37i9dQZF1DWSqmBTGDYngZ,https://open.spotify.com/playlist/37i9dQZF1DWSqmBTGDYngZ,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWSqmBTGDYngZ/tracks,200
3,False,"Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>.",https://api.spotify.com/v1/playlists/37i9dQZF1DX6VdMW310YC7,37i9dQZF1DX6VdMW310YC7,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003aa3d57de0916a2fe3dc6fd56', 'width': None}]",Chill Tracks,,,MTY2NDUxMDQwMCwwMDAwMDAwMDljNzM2NDNlMzg0NTIzNTFlZTljZjdhOThmMThiM2E1,playlist,spotify:playlist:37i9dQZF1DX6VdMW310YC7,https://open.spotify.com/playlist/37i9dQZF1DX6VdMW310YC7,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX6VdMW310YC7/tracks,200
4,False,Hits to boost your mood and fill you with happiness!,https://api.spotify.com/v1/playlists/37i9dQZF1DXdPec7aLTmlC,37i9dQZF1DXdPec7aLTmlC,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003b55b6074da1d43715fc16d6d', 'width': None}]",Happy Hits!,,,MTY2NDQ4ODgwMCwwMDAwMDAwMGMyYTRiYWM4NWVkMmFiY2ExNmI0OWMxMzAxMThhN2Y4,playlist,spotify:playlist:37i9dQZF1DXdPec7aLTmlC,https://open.spotify.com/playlist/37i9dQZF1DXdPec7aLTmlC,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXdPec7aLTmlC/tracks,100
5,False,every main character needs their soundtrack,https://api.spotify.com/v1/playlists/37i9dQZF1DX4OzrY981I1W,37i9dQZF1DX4OzrY981I1W,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003f8d218723e5cf515b03a3c70', 'width': None}]",my life is a movie,,,MTY2NDgwODk1OCwwMDAwMDAwMDcwYzg2ZWZmYTM3MTkwMDc1ZjVjYzMxMTgzYzkzMjM5,playlist,spotify:playlist:37i9dQZF1DX4OzrY981I1W,https://open.spotify.com/playlist/37i9dQZF1DX4OzrY981I1W,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX4OzrY981I1W/tracks,100
6,False,Feel great with these timelessly fun songs!,https://api.spotify.com/v1/playlists/37i9dQZF1DX7KNKjOK0o75,37i9dQZF1DX7KNKjOK0o75,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000386e40f3121af6df6566051c9', 'width': None}]",Have a Great Day!,,,MTY1NzA0NTI1NSwwMDAwMDAwMGNjMDk5MGFkNGU1NDE0NTRlNDU3NDNhOGYwMDJiNmFk,playlist,spotify:playlist:37i9dQZF1DX7KNKjOK0o75,https://open.spotify.com/playlist/37i9dQZF1DX7KNKjOK0o75,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX7KNKjOK0o75/tracks,80
7,False,Feel good with this positively timeless playlist!,https://api.spotify.com/v1/playlists/37i9dQZF1DX9XIFQuFvzM4,37i9dQZF1DX9XIFQuFvzM4,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000313a02d059c0479e65a850267', 'width': None}]",Feelin' Good,,,MTY2MDE2ODU0MSwwMDAwMDAwMDlkMDZiMzU4Mjk3NDQ4OWNhZjAwMzc5ZDg4NmE1YzBj,playlist,spotify:playlist:37i9dQZF1DX9XIFQuFvzM4,https://open.spotify.com/playlist/37i9dQZF1DX9XIFQuFvzM4,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX9XIFQuFvzM4/tracks,100
8,False,The best indie rock vibes — classic and current. ,https://api.spotify.com/v1/playlists/37i9dQZF1DX2sUQwD7tbmL,37i9dQZF1DX2sUQwD7tbmL,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000032390c211511e2d985935b267', 'width': None}]",Feel-Good Indie Rock,,,MTY2NDUxNjA0MCwwMDAwMDAwMGE4NTFkYTc2N2EzMDI5MmI4ZmQ5NDg4ZDJkZWRkNTZi,playlist,spotify:playlist:37i9dQZF1DX2sUQwD7tbmL,https://open.spotify.com/playlist/37i9dQZF1DX2sUQwD7tbmL,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX2sUQwD7tbmL/tracks,120
9,False,you up?,https://api.spotify.com/v1/playlists/37i9dQZF1DXdl6IPOySdX4,37i9dQZF1DXdl6IPOySdX4,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000030d5e6f861f423ecfac53610b', 'width': None}]",goosebumps,,,MTY2NDQ1OTM4NCwwMDAwMDAwMGM5NDQ4ODY3ZWViYjdjOWM2ZmE4ZDgxZWQ3N2ZkNjk3,playlist,spotify:playlist:37i9dQZF1DXdl6IPOySdX4,https://open.spotify.com/playlist/37i9dQZF1DXdl6IPOySdX4,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXdl6IPOySdX4/tracks,80
